closetime,openprice,highprice,lowprice,closeprice,volume,datetime,averageprice,updown
1500375600,253140,256500,249469,254511,1003.4745,2017-07-18 20:00:00,252984.5,1
1500379200,254799,267431,254511,262900,1748.3606,2017-07-18 21:00:00,260971.0,1
1500382800,262236,265940,260870,264999,1203.3818,2017-07-18 22:00:00,263405.0,1
1500386400,264999,268000,261328,266800,1551.4194,2017-07-18 23:00:00,264664.0,1
1500390000,265500,267621,263800,266704,1255.1497,2017-07-19 00:00:00,265710.5,2
1500393600,266662,267000,263500,265990,940.95374,2017-07-19 01:00:00,265250.0,2
1500397200,265990,266959,257104,259200,1165.6328,2017-07-19 02:00:00,262031.5,2
1500400800,259830,263495,257104,261804,756.33167,2017-07-19 03:00:00,260299.5,1
1500404400,261804,265890,261569,262877,501.517,2017-07-19 04:00:00,263729.5,1
1500408000,263540,266060,263500,264388,304.9878,2017-07-19 05:00:00,264780.0,1
1500411600,264401,267448,263340,264500,797.3616,2017-07-19 06:00:00,265394.0,2
1500415200,264549,265726,261111,264330,858.92377,2017-07-19 07:00:00,263418.5,2
1500418800,264330,264911,257174,259086,1148.5776,2017-07-19 08:00:00,261042.5,2
1500422400,259373,259920,255720,258599,1065.3438,2017-07-19 09:00:00,257820.0,2
1500426000,258857,258858,251297,253400,1658.1283,2017-07-19 10:00:00,255077.5,2
1500429600,253400,255893,252300,253851,1131.6852,2017-07-19 11:00:00,254096.5,2
1500433200,253851,254460,248120,252715,1988.908,2017-07-19 12:00:00,251290.0,1
1500436800,252715,260601,252501,259796,1479.8887,2017-07-19 13:00:00,256551.0,1
1500440400,259812,260395,257014,258210,997.1772,2017-07-19 14:00:00,258704.5,1
1500444000,258718,262989,258233,262242,945.8393,2017-07-19 15:00:00,260611.0,1
1500447600,262282,264160,261692,262985,1008.231,2017-07-19 16:00:00,262926.0,1
1500451200,262901,268000,262555,265820,966.6731,2017-07-19 17:00:00,265277.5,1
1500454800,265939,267450,264000,265110,917.95013,2017-07-19 18:00:00,265725.0,2
1500458400,265110,266156,262228,264090,854.97314,2017-07-19 19:00:00,264192.0,1
1500462000,264000,266500,263621,264170,748.40955,2017-07-19 20:00:00,265060.5,2
1500465600,264170,264540,260699,261988,1074.8864,2017-07-19 21:00:00,262619.5,2
1500469200,262049,262838,258233,260373,1288.6875,2017-07-19 22:00:00,260535.5,2
1500472800,260640,260950,257130,257130,906.07587,2017-07-19 23:00:00,259040.0,1
1500476400,257420,262659,257101,262098,1147.2141,2017-07-20 00:00:00,259880.0,1
1500480000,262126,264000,259120,260864,1235.3905,2017-07-20 01:00:00,261560.0,2
